TIMESTAMP,yaw,pitch,roll,ground speed,air_speed,latitude,altitude,longitude,wind direction,wind speed,Heartbeat
10533.118451328,-1.4142955541610718,0.13537056744098663,0.02427172102034092,0.0,0.0,0,21320,0,-180.0,0.0,4
10533.890523816,-1.4097836017608643,0.13527177274227142,0.02488604746758938,0.0,0.0,0,21140,0,-180.0,0.0,3
10534.118199727,-1.4089412689208984,0.13523420691490173,0.02500993199646473,0.0,0.0,0,21290,0,-180.0,0.0,4
10534.877384313,-1.4035900831222534,0.13495786488056183,0.02570049650967121,0.0,0.0,0,21140,0,-180.0,0.0,3
10535.117262903,-1.4025967121124268,0.13497985899448395,0.02577551268041134,0.0,0.0,0,21080,0,-180.0,0.0,4
10535.877394322,-1.39777410030365,0.13495385646820068,0.02629687637090683,0.0,0.0,0,20880,0,-180.0,0.0,3
10536.117965525,-1.396339774131775,0.13493116199970245,0.026361845433712006,0.0,0.0,0,21180,0,-180.0,0.0,4
10536.877337293,-1.3934262990951538,0.13485291600227356,0.026395170018076897,0.0,0.0,0,21220,0,-180.0,0.0,3
10537.118156468,-1.3931069374084473,0.1348627507686615,0.026368480175733566,0.0,0.0,0,21180,0,-180.0,0.0,4
10537.877379531,-1.390579342842102,0.1348804086446762,0.026372579857707024,0.0,0.0,0,20900,0,-180.0,0.0,3
10538.117423798,-1.39058256149292,0.13491636514663696,0.026325225830078125,0.0,0.0,0,21190,0,-180.0,0.0,4
10538.877377649,-1.3895663022994995,0.13503123819828033,0.026252757757902145,0.0,0.0,0,21120,0,-180.0,0.0,3
10539.117912442,-1.3893786668777466,0.13504427671432495,0.026219535619020462,0.0,0.0,0,21220,0,-180.0,0.0,4
10539.877355866,-1.3874891996383667,0.13510307669639587,0.0261527132242918,0.0,0.0,0,21150,0,-180.0,0.0,3
10540.118294518,-1.3871371746063232,0.13510818779468536,0.026062587276101112,0.0,0.0,0,21280,0,-180.0,0.0,4
10540.877504288,-1.3858003616333008,0.13507646322250366,0.02600719965994358,0.0,0.0,0,21410,0,-180.0,0.0,3
10541.122136118,-1.3855618238449097,0.13507047295570374,0.02595459669828415,0.0,0.0,0,21200,0,-180.0,0.0,4
10541.877587027,-1.3837757110595703,0.13503225147724152,0.025797776877880096,0.0,0.0,0,20850,0,-180.0,0.0,3
10542.127848574,-1.3843432664871216,0.13505962491035461,0.025630107149481773,0.0,0.0,0,21340,0,-180.0,0.0,4
10542.881315648,-1.3830525875091553,0.13499994575977325,0.02554953470826149,0.0,0.0,0,21240,0,-180.0,0.0,3
10543.118218508,-1.383679747581482,0.13503588736057281,0.02539231814444065,0.0,0.0,0,21190,0,-180.0,0.0,4
10543.877628425,-1.3822033405303955,0.13510312139987946,0.02542908303439617,0.0,0.0,0,21540,0,-180.0,0.0,3
