TIMESTAMP,Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Last Heartbeat
192073.342292507,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004741841403301805,yaw=-0.12144613265991211,roll=8.737908501643687e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.32945349600049667
192073.363012807,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004741841403301805,yaw=-0.12144613265991211,roll=8.737908501643687e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.32945349600049667
192073.376219807,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004741841403301805,yaw=-0.12144613265991211,roll=8.737908501643687e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.32945349600049667
192073.390673407,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004607463488355279,yaw=-0.12141481786966324,roll=7.586305582663044e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.32945349600049667
192073.405883207,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004607463488355279,yaw=-0.12141481786966324,roll=7.586305582663044e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.43141249497421086
192073.481314606,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004607463488355279,yaw=-0.12141481786966324,roll=7.586305582663044e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.4962900939863175
192073.543818605,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004607463488355279,yaw=-0.12141481786966324,roll=7.586305582663044e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.4962900939863175
192073.590119104,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004607463488355279,yaw=-0.12141481786966324,roll=7.586305582663044e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.4962900939863175
192073.612516304,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.4962900939863175
192073.628385404,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.6532759919937234
192073.695195503,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7168928909813985
192073.760850002,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7837838909763377
